version,date,release_note,airline,category
12.50.2,2026-08-03,"Your AirAsiaMOVE app just levelled up! 
   Sleeker UI for effortless browsing. 
    Faster performance, every tap. 
Update now and travel smarter!",AirAsia,Maintenance
12.50.1,2026-07-30,"Your AirAsiaMOVE app just levelled up! 
  Sleeker UI for effortless browsing. 
  Faster performance, every tap. 
Update now and travel smarter!",AirAsia,Maintenance
12.50.0,2026-07-23,"Your AirAsiaMOVE app just levelled up! 
  Sleeker UI for effortless browsing. 
  Faster performance, every tap. 
Update now and travel smarter!",AirAsia,Maintenance
12.49.2,2026-07-15,"Your AirAsiaMOVE experience just got better!

UI improvements for smoother navigation. 
Optimized app performance.",AirAsia,Maintenance
12.49.1,2026-07-09,"Your AirAsiaMOVE experience just got better!

UI improvements for smoother navigation. 
Optimized app performance.",AirAsia,Maintenance
12.49.0,2026-06-25,"Your AirAsiaMOVE experience just got better!

UI improvements for smoother navigation. 
Optimized app performance.",AirAsia,Maintenance
12.48.0,2026-06-14,"Your AirAsiaMOVE app just levelled up! 
Sleeker UI for effortless browsing. 
Faster performance, every tap. 
Update now and travel smarter!",AirAsia,Maintenance
12.47.2,2026-06-09,"Your AirAsiaMOVE app just levelled up!

Sleeker UI for effortless browsing. 
Faster performance, every tap.

Update now and travel smarter!",AirAsia,Maintenance
12.47.1,2026-05-22,"Your AirAsiaMOVE app just levelled up! 

Sleeker UI for effortless browsing. 
Faster performance, every tap. 

Update now and travel smarter!",AirAsia,Maintenance
12.47.0,2026-05-21,"Your AirAsiaMOVE app just levelled up! 

Sleeker UI for effortless browsing. 
Faster performance, every tap. 

Update now and travel smarter!",AirAsia,Maintenance
12.46.2,2026-05-18,"Your AirAsiaMOVE experience just got better!
 
UI improvements for smoother navigation. 
Optimized app performance.

Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
12.46.1,2026-05-09,"Your AirAsiaMOVE experience just got better!
 
UI improvements for smoother navigation. 
Optimized app performance.

Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
12.46.0,2026-05-04,"Your AirAsiaMOVE experience just got better!
 
UI improvements for smoother navigation. 
Optimized app performance.

Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
12.45.2,2026-04-23,"Your AirAsiaMOVE app just levelled up! 
Sleeker UI for effortless browsing. 
Faster performance, every tap. 
Update now and travel smarter!",AirAsia,Maintenance
12.45.1,2026-04-17,"Your AirAsiaMOVE app just levelled up! 
Sleeker UI for effortless browsing. 
Faster performance, every tap. 
Update now and travel smarter!",AirAsia,Maintenance
12.45.0,2026-04-10,"Your AirAsiaMOVE app just levelled up! 
Sleeker UI for effortless browsing. 
Faster performance, every tap. 
Update now and travel smarter!",AirAsia,Maintenance
12.44.1,2026-03-16,"Your AirAsiaMOVE experience just got better!

UI improvements for smoother navigation.
Optimized app performance.

Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
12.44.0,2026-03-14,"Your AirAsiaMOVE experience just got better!

UI improvements for smoother navigation.
Optimized app performance.

Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
12.43.1,2026-03-04,"Your AirAsiaMOVE experience just got better!

UI improvements for smoother navigation. 
Optimized app performance.",AirAsia,Maintenance
12.43.0,2026-02-24,"Your AirAsiaMOVE experience just got better!

UI improvements for smoother navigation. 
Optimized app performance. 

Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
12.42.0,2026-02-04,"Your AirAsiaMOVE experience just got better! 

 Fresh UI improvements for smoother navigation. 
 Optimized app performance for all devices. 


Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
12.41.0,2026-01-19,"Your AirAsiaMOVE experience just got better!

 UI improvements for smoother navigation. 
 Optimized app performance. 

Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
12.40.2,2026-01-06,"Your AirAsiaMOVE experience just got better! 

Fresh UI improvements for smoother navigation. 
Optimized app performance for all devices. 

Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
12.40.1,2025-12-13,"Your AirAsiaMOVE experience just got better! 

Fresh UI improvements for smoother navigation. 
Optimized app performance for all devices. 

Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
12.40.0,2025-12-05,"Your AirAsiaMOVE experience just got better! 

Fresh UI improvements for smoother navigation. 
Optimized app performance for all devices. 

Update now and enjoy a more refined travel companion!",AirAsia,Maintenance
