airline,version,date,release_note
ZIPAIR,Add information about the Kuala Lumpur route,2026-07-22,Add information about the Kuala Lumpur route
ZIPAIR,Minor function/display corrections,2026-06-09,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2026-05-13,Minor function/display corrections
ZIPAIR,Add eVISA application guide,2026-04-21,Add eVISA application guide
ZIPAIR,Minor function/display corrections,2026-03-31,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2026-03-24,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2026-03-19,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2026-03-10,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2026-01-27,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2026-01-14,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2025-12-12,Minor function/display corrections
ZIPAIR,Add information for the Taipei route.,2025-12-10,Add information for the Taipei route.
ZIPAIR,Add information for the Orlando route.,2025-12-03,Add information for the Orlando route.
ZIPAIR,Minor function/display corrections,2025-11-12,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2025-10-21,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2025-10-14,Minor function/display corrections
ZIPAIR,"Added support for boarding pass display on U.S. routes.
Additional minor updates.",2025-08-27,"Added support for boarding pass display on U.S. routes.
Additional minor updates."
ZIPAIR,"Promotion code feature is now available
Other Minor Updates",2025-07-31,"Promotion code feature is now available
Other Minor Updates"
ZIPAIR,Minor function/display corrections,2025-07-22,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2025-03-12,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2025-03-06,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2025-01-14,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2024-10-24,Minor function/display corrections
ZIPAIR,Minor function/display corrections,2024-10-16,Minor function/display corrections
ZIPAIR,Add information of Houston routes,2024-10-10,Add information of Houston routes
