version,date,release_note
1.5.20,2026-07-22,Add information about the Kuala Lumpur route
1.5.19,2026-06-09,Minor function/display corrections
1.5.17,2026-05-13,Minor function/display corrections
1.5.16,2026-04-21,Add eVISA application guide
1.5.14,2026-03-31,Minor function/display corrections
1.5.13,2026-03-24,Minor function/display corrections
1.5.12,2026-03-19,Minor function/display corrections
1.5.10,2026-03-10,Minor function/display corrections
1.5.9,2026-01-27,Minor function/display corrections
1.5.8,2026-01-14,Minor function/display corrections
1.5.7,2025-12-12,Minor function/display corrections
1.5.6,2025-12-10,Add information for the Taipei route.
1.5.5,2025-12-03,Add information for the Orlando route.
1.5.4,2025-11-12,Minor function/display corrections
1.5.3,2025-10-21,Minor function/display corrections
1.5.2,2025-10-14,Minor function/display corrections
1.5.1,2025-08-27,"Added support for boarding pass display on U.S. routes.
Additional minor updates."
1.5.0,2025-07-31,"Promotion code feature is now available
Other Minor Updates"
1.4.6,2025-07-22,Minor function/display corrections
1.4.5,2025-03-12,Minor function/display corrections
1.4.4,2025-03-06,Minor function/display corrections
1.4.3,2025-01-14,Minor function/display corrections
1.4.2,2024-10-24,Minor function/display corrections
1.4.1,2024-10-16,Minor function/display corrections
1.4.0,2024-10-10,Add information of Houston routes
