airline,category,value
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
AirAsia,Customer Experience,1
JAL,Customer Experience,1
JAL,Customer Experience,1
JAL,Customer Experience,1
JAL,Customer Experience,1
JAL,Customer Experience,1
JAL,Customer Experience,1
JAL,Customer Experience,1
JAL,Customer Experience,1
JAL,Feature,1
JAL,Feature,1
JAL,Feature,1
JAL,Feature,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
JAL,Maintenance,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Customer Experience,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Feature,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
Scoot,Maintenance,1
ZIPAIR,Customer Experience,1
ZIPAIR,Customer Experience,1
ZIPAIR,Customer Experience,1
ZIPAIR,Customer Experience,1
ZIPAIR,Customer Experience,1
ZIPAIR,Customer Experience,1
ZIPAIR,Customer Experience,1
ZIPAIR,Customer Experience,1
ZIPAIR,Feature,1
ZIPAIR,Feature,1
ZIPAIR,Feature,1
ZIPAIR,Feature,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Maintenance,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
ZIPAIR,Network Expansion,1
